"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-59.921452,-62.588379,"","PRESENT"
"gbif2",-59.912011,-62.588854,"","PRESENT"
"gbif3",-59.912011,-62.588854,"","PRESENT"
"gbif4",-59.912011,-62.588854,"","PRESENT"
"gbif5",-59.912011,-62.588854,"","PRESENT"
"gbif6",-60.593126,-62.957477,"","PRESENT"
"gbif7",-60.566053,-62.978612,"","PRESENT"
"gbif8",-60.607509,-62.649853,"","PRESENT"
"gbif9",-59.900222,-62.595339,"","PRESENT"
"gbif10",-63.996356,-65.075896,"","PRESENT"
"gbif11",-55.491015,-61.479176,"","PRESENT"
"gbif12",-60.516667,-62.833333,"","PRESENT"
"gbif13",-59.377012,-62.44217,"","PRESENT"
"gbif14",-61.627863,-64.146722,"","PRESENT"
"gbif15",-61.627522,-64.147264,"","PRESENT"
"gbif16",-58.902914,-62.185296,"","PRESENT"
"gbif17",-63.99931,-65.11128,"","PRESENT"
"gbif18",-60.664444,-62.92361,"","PRESENT"
"gbif19",-62.66024,-64.6374,"","PRESENT"
"gbif20",-61.204445,-62.726944,"","PRESENT"
"gbif21",-59.920555,-62.59528,"","PRESENT"
"gbif22",-60.4935,-62.6085,"","PRESENT"
"gbif23",-62.15337,-64.654655,"","PRESENT"
"gbif24",-62.663147,-64.65904,"","PRESENT"
"gbif25",-64.13676,-65.17486,"","PRESENT"
"gbif26",-37.967506,-54.02068,"","PRESENT"
"gbif27",-60.85339,-62.6855,"","PRESENT"
"gbif28",-60.533333,-62.898888,"","PRESENT"
"gbif29",-63.014618,-64.72448,"","PRESENT"
"gbif30",-59.74917,-62.406387,"","PRESENT"
"gbif31",-58.42917,-62.13028,"","PRESENT"
"gbif32",-35.81189,-54.785988,"","PRESENT"
"gbif33",-35.81189,-54.785988,"","PRESENT"
"gbif34",-58.93317,-62.21311,"","PRESENT"
"gbif35",-62.52889,-64.84055,"","PRESENT"
"gbif36",-59.920555,-62.59528,"","PRESENT"
"gbif37",-59.920555,-62.59528,"","PRESENT"
"gbif38",-61.761112,-64.501945,"","PRESENT"
"gbif39",-44.724827,-60.74354,"","PRESENT"
"gbif40",-57.9336,-62.103886,"","PRESENT"
"gbif41",-57.926888,-62.102,"","PRESENT"
"gbif42",-62.669575,-64.669426,"","PRESENT"
"gbif43",-57.59516,-63.12243,"","PRESENT"
"gbif44",-64.05278,-65.1025,"","PRESENT"
"gbif45",-60.561714,-62.98323,"","PRESENT"
"gbif46",-54.826237,-61.209805,"","PRESENT"
"gbif47",-60.63639,-62.95889,"","PRESENT"
"gbif48",-58.94725,-62.19785,"","PRESENT"
"gbif49",-54.698612,-61.142223,"","PRESENT"
"gbif50",-59.578083,-62.542973,"","PRESENT"
"gbif51",-60.433613,-62.71361,"","PRESENT"
"gbif52",-56.905,-63.52222,"","PRESENT"
"gbif53",-62.962975,-64.3121,"","PRESENT"
"gbif54",-60.63639,-62.95889,"","PRESENT"
"gbif55",-54.859444,-61.099304,"","PRESENT"
"gbif56",-60.555832,-62.99917,"","PRESENT"
"gbif57",-59.94088,-62.552155,"","PRESENT"
"gbif58",-62.618725,-64.62663,"","PRESENT"
"gbif59",-58.96379,-62.19936,"","PRESENT"
"gbif60",-59.920555,-62.59528,"","PRESENT"
"gbif61",-60.63639,-62.95889,"","PRESENT"
"gbif62",-65.56641,-60.28341,"","PRESENT"
"gbif63",-54.88272,-61.095585,"","PRESENT"
"gbif64",-59.5909,-62.85085,"","PRESENT"
"gbif65",-59.920555,-62.59528,"","PRESENT"
"gbif66",-54.67736,-63.434,"","PRESENT"
"gbif67",-55.095554,-61.128613,"","PRESENT"
"gbif68",-59.74917,-62.406387,"","PRESENT"
"gbif69",-54.11722,-61.24972,"","PRESENT"
"gbif70",-60.905457,-64.14416,"","PRESENT"
"gbif71",-54.859444,-61.099304,"","PRESENT"
"gbif72",-60.905457,-64.14416,"","PRESENT"
"gbif73",-62.708942,-64.677765,"","PRESENT"
"gbif74",-59.920555,-62.59528,"","PRESENT"
"gbif75",-68.30822,-54.809666,"","PRESENT"
"gbif76",-55.523815,-63.129356,"","PRESENT"
"gbif77",-60.63639,-62.95889,"","PRESENT"
"gbif78",-36.5827,-54.4138,"","PRESENT"
"gbif79",-55.095554,-61.128613,"","PRESENT"
"gbif80",-62.870277,-64.89555,"","PRESENT"
"gbif81",158.93813,-54.4989,"","PRESENT"
"gbif82",-35.81189,-54.785988,"","PRESENT"
"gbif83",-57.1781,-61.941986,"","PRESENT"
"gbif84",-60.646667,-62.951942,"","PRESENT"
"gbif85",-62.878613,-64.854164,"","PRESENT"
"gbif86",-54.84058,-60.81932,"","PRESENT"
"gbif87",-56.905,-63.52222,"","PRESENT"
"gbif88",-59.768612,-62.525833,"","PRESENT"
"gbif89",-57.307354,-63.196915,"","PRESENT"
"gbif90",-61.508205,-63.049103,"","PRESENT"
"gbif91",-60.905457,-64.14416,"","PRESENT"
"gbif92",-58.42917,-62.13028,"","PRESENT"
"gbif93",-54.859444,-61.099304,"","PRESENT"
"gbif94",-59.920555,-62.59528,"","PRESENT"
"gbif95",-63.4492,-64.5485,"","PRESENT"
"gbif96",-60.561714,-62.98323,"","PRESENT"
"gbif97",-60.63639,-62.95889,"","PRESENT"
"gbif98",-58.97739,-62.198948,"","PRESENT"
"gbif99",-54.5842,-61.640396,"","PRESENT"
"gbif100",-60.561714,-62.98323,"","PRESENT"
"gbif101",-58.6675,-62.23814,"","PRESENT"
"gbif102",-62.878613,-64.854164,"","PRESENT"
"gbif103",-56.167267,-61.636707,"","PRESENT"
"gbif104",-62.857224,-64.82389,"","PRESENT"
"gbif105",-56.905,-63.52222,"","PRESENT"
"gbif106",-60.561714,-62.98323,"","PRESENT"
"gbif107",-63.950558,-65.07528,"","PRESENT"
"gbif108",-62.663147,-64.65904,"","PRESENT"
"gbif109",-54.7863,-61.11288,"","PRESENT"
"gbif110",-60.63639,-62.95889,"","PRESENT"
"gbif111",-59.920555,-62.59528,"","PRESENT"
"gbif112",-62.07137,-62.56782,"","PRESENT"
"gbif113",-62.623055,-64.68389,"","PRESENT"
"gbif114",-67.383575,-54.904526,"","PRESENT"
"gbif115",-57.899723,-63.32111,"","PRESENT"
"gbif116",-35.81189,-54.785988,"","PRESENT"
"gbif117",-35.79277,-54.913883,"","PRESENT"
"gbif118",-58.42917,-62.13028,"","PRESENT"
"gbif119",-36.030945,-54.80156,"","PRESENT"
"gbif120",-58.42917,-62.13028,"","PRESENT"
"gbif121",-62.962975,-64.3121,"","PRESENT"
"gbif122",-60.61,-62.65403,"","PRESENT"
"gbif123",-56.905,-63.52222,"","PRESENT"
"gbif124",-60.50611,-62.966667,"","PRESENT"
"gbif125",-59.74917,-62.406387,"","PRESENT"
"gbif126",-59.920555,-62.59528,"","PRESENT"
"gbif127",-56.90547,-63.51858,"","PRESENT"
"gbif128",-59.920555,-62.59528,"","PRESENT"
"gbif129",-44.7375,-60.737778,"","PRESENT"
"gbif130",-26.2179,-58.475616,"","PRESENT"
"gbif131",-62.962975,-64.3121,"","PRESENT"
"gbif132",-61.761112,-64.501945,"","PRESENT"
"gbif133",-64.13903,-65.17136,"","PRESENT"
"gbif134",-63.18087,-64.54346,"","PRESENT"
"gbif135",-63.357224,-64.77861,"","PRESENT"
"gbif136",-67.383575,-54.904526,"","PRESENT"
"gbif137",-60.56054,-62.97898,"","PRESENT"
"gbif138",-55.02338,-60.89625,"","PRESENT"
"gbif139",-63.493057,-64.82694,"","PRESENT"
"gbif140",-63.509724,-64.815834,"","PRESENT"
"gbif141",-62.878613,-64.854164,"","PRESENT"
"gbif142",-60.61,-62.65403,"","PRESENT"
"gbif143",-63.33,-64.48,"","PRESENT"
"gbif144",-65.56641,-60.28341,"","PRESENT"
"gbif145",-45.56361,-60.646942,"","PRESENT"
"gbif146",-59.208,-62.309,"","PRESENT"
"gbif147",-55.095554,-61.128613,"","PRESENT"
"gbif148",-60.646667,-62.951942,"","PRESENT"
"gbif149",-35.94353,-54.623623,"","PRESENT"
"gbif150",-55.095554,-61.128613,"","PRESENT"
"gbif151",-54.859184,-61.1012,"","PRESENT"
"gbif152",-60.63639,-62.95889,"","PRESENT"
"gbif153",-62.53278,-64.62222,"","PRESENT"
"gbif154",-27.121906,-56.671116,"","PRESENT"
"gbif155",-64.13676,-65.17486,"","PRESENT"
