"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",139.222987,35.015673,NA,"PRESENT"
"gbif2",139.222987,35.015673,NA,"PRESENT"
"gbif3",139.222987,35.015673,NA,"PRESENT"
"gbif4",139.223093,35.015625,NA,"PRESENT"
"gbif5",139.223093,35.015625,NA,"PRESENT"
"gbif6",139.223093,35.015625,NA,"PRESENT"
"gbif7",139.222987,35.015673,NA,"PRESENT"
"gbif8",139.222987,35.015673,NA,"PRESENT"
"gbif9",139.22304,35.015633,NA,"PRESENT"
"gbif10",123.8417,24.8583,NA,"PRESENT"
"gbif11",119.29,22.11,NA,"PRESENT"
"gbif12",122.7,24.85,NA,"PRESENT"
"gbif13",119.29,22.11,NA,"PRESENT"
"gbif14",126.9,27.79,NA,"PRESENT"
"gbif15",122.7,24.85,NA,"PRESENT"
"gbif16",122.7,24.85,NA,"PRESENT"
"gbif17",119.29,22.11,NA,"PRESENT"
"gbif18",123.84,24.86,NA,"PRESENT"
"gbif19",139.22,35,NA,"PRESENT"
"gbif20",123.84,24.86,NA,"PRESENT"
"gbif21",119.29,22.11,NA,"PRESENT"
"gbif22",139.22,35,NA,"PRESENT"
"gbif23",139.22,35,NA,"PRESENT"
"gbif24",126.9,27.79,NA,"PRESENT"
"gbif25",119.29,22.11,NA,"PRESENT"
"gbif26",139.22,35,NA,"PRESENT"
"gbif27",122.7,24.85,NA,"PRESENT"
"gbif28",126.9,27.8,NA,"PRESENT"
"gbif29",119.29,22.11,NA,"PRESENT"
"gbif30",126.9,27.8,NA,"PRESENT"
"gbif31",119.29,22.11,NA,"PRESENT"
"gbif32",139.22,35.02,NA,"PRESENT"
"gbif33",126.9,27.79,NA,"PRESENT"
"gbif34",126.97,27.55,NA,"PRESENT"
"gbif35",123.84,24.86,NA,"PRESENT"
"gbif36",119.29,22.11,NA,"PRESENT"
"gbif37",122.7,24.85,NA,"PRESENT"
"gbif38",126.97,27.55,NA,"PRESENT"
"gbif39",126.9,27.79,NA,"PRESENT"
"gbif40",139.22,35.02,NA,"PRESENT"
"gbif41",139.22,35,NA,"PRESENT"
"gbif42",122.7,24.85,NA,"PRESENT"
"gbif43",122.7,24.85,NA,"PRESENT"
"gbif44",139.22,35,NA,"PRESENT"
"gbif45",126.97,27.55,NA,"PRESENT"
"gbif46",119.29,22.11,NA,"PRESENT"
