link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA473646_Bathymodiolus-platifrons	SRR7233009	27.791	126.897		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233010	27.791	126.897		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233011	27.791	126.897		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233012	27.55	126.969		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233013	27.791	126.897		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233014	27.791	126.897		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233015	27.55	126.969		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233016	27.55	126.969		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233017	27.55	126.969		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233018	27.55	126.969		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233019	27.55	126.969		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233020	27.55	126.969		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233021	27.55	126.969		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233022	27.55	126.969		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233023	24.858	123.842		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233024	27.55	126.969		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233025	24.858	123.842		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233026	24.858	123.842		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233027	24.858	123.842		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233028	24.858	123.842		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233029	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233030	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233031	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233032	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233033	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233034	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233035	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233036	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233037	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233038	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233039	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233040	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233041	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233042	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233043	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233044	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233045	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233046	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233047	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233048	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233049	35.003	139.225		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233050	35.003	139.225		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233051	35.003	139.225		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233052	35.003	139.225		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233053	35.003	139.225		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233054	35.003	139.225		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233055	35.003	139.225		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233056	35.003	139.225		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233057	35.016	139.222		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233058	35.016	139.222		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233059	35.003	139.225		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233060	35.003	139.225		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233061	27.8	126.897		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233062	27.8	126.897		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233063	35.003	139.225		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233064	35.003	139.225		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233065	27.791	126.897		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233066	27.791	126.897		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233067	27.791	126.897		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233068	27.8	126.897		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233069	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233070	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233071	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233072	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233073	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233074	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233075	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233076	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233077	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233078	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233079	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233080	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233081	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233082	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233083	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233084	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233085	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233086	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233087	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233088	22.115	119.286		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233089	35.016	139.222		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233090	35.016	139.222		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233091	35.016	139.222		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233092	35.016	139.222		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233093	35.016	139.222		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233094	35.016	139.222		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233095	35.016	139.222		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233096	35.016	139.222		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233097	35.016	139.222		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233098	35.016	139.222		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233099	24.858	123.842		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233100	24.858	123.842		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233101	24.858	123.842		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233102	24.858	123.842		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233103	24.858	123.842		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233104	24.858	123.842		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233105	24.858	123.842		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233106	24.858	123.842		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233107	24.858	123.842		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233108	24.858	123.842		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233109	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233110	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233111	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233112	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233113	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233114	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233115	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233116	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233117	24.849	122.702		ncbi
PRJNA473646_Bathymodiolus-platifrons	SRR7233118	24.849	122.702		ncbi
